field,origin,type,allowed_values,meaning,role,missing_policy,release
P4,survey,integer,1=0; 2=1; 3=2–3; 4=4 or more,Advisor contacts about course selection,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
P5,survey,integer,1=Not at all; 2=Slightly; 3=Moderately; 4=Very; 5=Extremely,Credit-transfer worry,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
O1,survey,integer,1=Very dissatisfied; 2=Dissatisfied; 3=Neither satisfied nor dissatisfied; 4=Satisfied; 5=Very satisfied,Schedule satisfaction,outcome,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
O2,survey,integer,1=No; 2=Yes one; 3=Yes more than one,Self-reported course changes after term started,outcome,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
O3,survey,integer,Actual integer 0–10 inclusive; never default 1–11,Recommendation intention; not retention,outcome,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
A1_1,survey,integer,1=Strongly disagree; 2=Disagree; 3=Neither; 4=Agree; 5=Strongly agree,Enough information to judge workload,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
A1_2,survey,integer,Same 1–5 agreement scale,Understood degree-requirement fit,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
A1_3,survey,integer,Same 1–5 scale; correct answer 2=Disagree,Attention check,quality,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
A1_4,survey,integer,Same 1–5 agreement scale,Would choose same schedule again,context,Missing/invalid on otherwise eligible finished records => quarantine; expected skips on terminated/unfinished rows allowed,Private row-level; aggregates only for public output
O4,survey,text,Optional text; no identifying details,One thing that would make course selection easier,outcome,Allowed; kept only in raw export,Raw only; not in generated audit/analysis
ResponseId,Qualtrics,string,Nonempty,Random response record ID; repeated IDs flagged after first raw-file occurrence,metadata,Missing => quarantine,Private only
Finished,Qualtrics,integer,0=Unfinished; 1=Finished,Completion marker; distinct from all questions answered,metadata,Missing/invalid => quarantine,Private; aggregate QA counts
Status,Qualtrics,integer,0=Production; 1=Preview; 2=Test,Present values must be valid; Survey Preview/Survey Test labels accepted,metadata,Absent column defaults to production; include all fields in real export,Private; aggregate QA counts
Duration (in seconds),Qualtrics,float,Finite nonnegative seconds,Total duration; <90 seconds flags speeder; exactly90 passes,metadata,Missing/invalid => quarantine on completed eligible records,Private; analysis median aggregated
source_row,pipeline,integer,1-based input line/record,CSV physical starting line; direct DataFrame uses record position,audit,Generated,Private only
validation_errors,pipeline,string,Field-specific issue list,Missing/malformed/out-of-range fields; inspect original raw row for values,audit,Empty when valid,Private only
disposition,pipeline,category,preview_test; not_consented; ineligible; incomplete; quarantined; possible_dupe; failed_attention; speeder; straightline; logic_error; analysis,"First true flag in frozen priority order, or analysis; counts reconcile",audit,Generated,Private; aggregate QA counts
preview_test,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
not_consented,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
ineligible,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
incomplete,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
quarantined,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
possible_dupe,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
failed_attention,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
speeder,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
straightline,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
logic_error,pipeline,boolean,True/False,Overlapping flag; see methodology for exact rule and precedence,QA,Generated,Private; aggregate flag counts
